1941.zip	"1941 - Counter Attack"		"View Games"
3wonders.zip	"3 Wonders"		"View Games"
captcomm.zip	"Captain Commando"		"View Games"
cawing.zip	"Carrier Airwing"		"View Games"
dino.zip	"Cadillacs & Dinosaurs"		"View Games"
ffight.zip	"Final Fight"		"View Games"
forgottn.zip	"Forgotten Worlds"		"View Games"
ghouls.zip	"Ghouls'n Ghosts"		"View Games"
knights.zip	"Knights of the Round"		"View Games"
kod.zip	"King of Dragons"		"View Games"
mercs.zip	"Mercs"		"View Games"
msword.zip	"Magic Sword"		"View Games"
mtwins.zip	"Mega Twins"		"View Games"
nemo.zip	"Nemo"		"View Games"
pang3.zip	"Pang 3"		"View Games"
punisher.zip	"Punisher"		"View Games"
qad.zip	"Quiz & Dragons"		"View Games"
sf1.zip	"Street Fighter"		"View Games"
sf2.zip	"Street Fighter 2"		"View Games"
sf2ce.zip	"Street Fighter 2 - Champion Edition"		"View Games"
slammast.zip	"Saturday Night Slammasters"		"View Games"
strider.zip	"Strider"		"View Games"
unsquad.zip	"U.N. Squadron"		"View Games"
varth.zip	"Varth - Operation Thunderstorm"		"View Games"
willow.zip	"Willow"		"View Games"
wof.zip	"Warriors of Fate"		"View Games"
