19xx.zip	"19xx - The war against destiny"	"View Games"
armwar.zip	"Armored Warriors"	"View Games"
avsp.zip	"Alien vs. Predator"	"View Games"
ddsom.zip	"Dungeons & Dragons - Shadow over Mystara"	"View Games"
ddtod.zip	"Dungeons & Dragons - Tower of Doom"	"View Games"
dino.zip	"Cadillacs & Dinosaurs"	"View Games"
dstlk.zip	"Darkstalkers - The night warriors"	"View Games"
ecofghtr.zip	"Eco Fighters"	"View Games"
msh.zip	"Marvel Super Heroes"	"View Games"
mvsc.zip	"Marvel vs. Capcom"	"View Games"
rckman2j.zip	"Rockman 2 - The power fighters"	"View Games"
ringdest.zip	"Ring of Destruction - Slammasters 2"	"View Games"
sfa.zip	"Street Fighter Alpha - Warriors' Dreams"	"View Games"
sfa2.zip	"Street Fighter Alpha 2"	"View Games"
sgemf.zip	"Super Gem Fighters Mini Mix"	"View Games"
ssf2.zip	"Super Street Fighter 2 - The New Challengers"	"View Games"
vsav2.zip	"Vampire Savior 2 - The Lord of Vampire"	"View Games"
xmcota.zip	"X-Men - Children of the Atom"	"View Games"
xmvsf.zip	"X-Men vs. Street Fighter"	"View Games"
cybotsj.zip	"Cyberbots - Fullmetal Madness"	"View Games"
batcirj.zip	"Battle Circuit"	"View Games"
megaman.zip	"Mega Man"	"View Games"
ssf2t.zip	"Super Street Fighter 2 Turbo"	"View Games"
mshvsfj.zip	"Marvel Super Heroes vs. Street Fighter"	"View Games"
sfa3r1.zip	"Street Fighter Alpha 3"	"View Games"
spf2xj.zip	"Super Puzzle Fighter 2 X"	"View Games"
vsavu.zip	"Vampire Savior"	"View Games"
vhuntj.zip	"Vampire Hunter"	"View Games"
