garfield.zip	"Garfield"	"Jump'n Run"
gynoug.zip	"Gynoug"	"Shooter"
dbz.zip	"Dragon Ball Z"	"Beat'em Up"
sforce.zip	"Shining Force"	"RPG & Adventure"
coolspot.zip	"Cool Spot"	"Jump'n Run"
pstar2.zip	"Phantasy Star 2"	"RPG & Adventure"
pstar4.zip	"Phantasy Star 4"	"RPG & Adventure"
smashtv.zip	"Smash TV"	"Action"
shadowotbeast2.zip	"Shadow of the Beast 2"	"Action"
shadrun.zip	"Shadowrun"	"RPG & Adventure"
shangon.zip	"Super Hang-On"	"Sports"
sitd.zip	"Shining in the Darkness"	"RPG & Adventure"
mahjong.zip	"Mahjong"	"Puzzle"
crackdown.zip	"Crack Down"	"Action"
abest.zip	"Altered Beast"	"Action"
dd.zip	"Double Dragon"	"Action"
alisiadragoon.zip	"Alisias Dragoon"	"Action"
aeroblasters.zip	"Aero Blasters"	"Shooter"
ambition.zip	"Ambition of Caesar"	"Strategy"
aworld.zip	"Another World"	"Action"
bubsy.zip	"Bubsy"	"Jump'n Run"
comixzn.zip	"Comix Zone"	"Action"
desertst.zip	"Desert Strike"	"Shooter"
sor2.zip	"Streets of Rage 2"	"Action"
stblade.zip	"Super Thunder Blade"	"Shooter"
tmht.zip	"Teenage Mutant Hero Turtles - The Hyperstone Heist"	"Action"
dtracy.zip	"Dick Tracy"	"Action"
dune.zip	"Dune"	"Strategy"
storyofthor.zip	"The Story of Thor"	"RPG & Adventure"
decapattack.zip	"Decapattack"	"RPG & Adventure"
general.zip	"General Chaos"	"Action"
goldaxe.zip	"Golden Axe"	"Action"
dynahead.zip	"Dynamite Headdy"	"Jump'n Run"
goldaxe2.zip	"Golden Axe 2"	"Action"
goldaxe3.zip	"Golden Axe 3"	"Action"
pacmania.zip	"Pacmania"	"Puzzle"
landstalker.zip	"Landstalker"	"RPG & Adventure"
rocketknight.zip	"Rocket Knight Adventures"	"Jump'n Run"
shinobi3.zip	"Shinobi 3"	"Action"
shinobi2.zip	"Shinobi 2"	"Action"
soleil.zip	"Soleil"	"RPG & Adventure"
tforce2.zip	"Thunder Force 2"	"Shooter"
sor.zip	"Streets of Rage"	"Action"
aleste.zip	"Aleste"	"Shooter"
stdeep9.zip	"Star Trek - Deep Space 9"	"RPG & Adventure"
strider2.zip	"Strider 2"	"Action"
rangerx.zip	"Ranger-X"	"Action"
ecco.zip	"Ecco"	"RPG & Adventure"
splaths2.zip	"Splatterhouse 2"	"Action"
jewelmaster.zip	"Jewel Master"	"Action"
dukenukem3d.zip	"Duke Nukem 3D"	"Shooter"
ecco2.zip	"Ecco 2"	"RPG & Adventure"
flashback.zip	"Flashback"	"Action"
gemfire.zip	"Gemfire"	"Strategy"
ghoulgho.zip	"Ghouls'n Ghosts"	"Jump'n Run"
greendog.zip	"Greendog"	"Jump'n Run"
gunstarheroes.zip	"Gunstar Heroes"	"Action"
jamespond3.zip	"James Pond 3"	"Jump'n Run"
jamespond2.zip	"James Pond 2"	"Jump'n Run"
junglestrike.zip	"Jungle Strike"	"Shooter"
moonwalker.zip	"Moonwalker"	"Action"
piratesgold.zip	"Pirates Gold"	"Strategy"
rrollrac.zip	"Rock'n Roll Racing"	"Sports"
sf2turbo.zip	"Street Fighter 2 Plus"	"Beat'em Up"
shadowotbeast.zip	"Shadow of the Beast"	"Action"
shiningf2.zip	"Shining Force 2"	"RPG & Adventure"
sonicspinball.zip	"Sonic Spinball"	"Simulation"
sonic2.zip	"Sonic 2"	"Jump'n Run"
sonic3d.zip	"Sonic 3D"	"Jump'n Run"
sor3.zip	"Streets of Rage 3"	"Action"
spidermanvskingpin.zip	"Spiderman vs. Kingpin"	"Jump'n Run"
tforce3.zip	"Thunderforce 3"	"Jump'n Run"
tforce4.zip	"Thunderforce 4"	"Shooter"
turbooutrun.zip	"Turbo Outrun"	"Sports"
alex.zip	"Alex Kidd"	"Jump'n Run"
aliens3.zip	"Alien 3"	"Action"
tyrants.zip	"Tyrants"	"Strategy"
mortalkombat3.zip	"Mortal Kombat 3"	"Beat'em Up"
undeadline.zip	"Undead Line"	"Beat'em Up"
ustrike.zip	"Urban Strike"	"Beat'em Up"
zerowing.zip	"Zero Wing"	"Beat'em Up"
aliensoldier.zip	"Alien Soldier"	"Action"
hardwired.zip	"Hardwired"	"Shooter"
roboterm.zip	"Robocop vs. Terminator"	"Action"
alienstorm.zip	"Alien Storm"	"Action"
bartvsspacemutants.zip	"Simpsons"	"Jump'n Run"
sonic1.zip	"Sonic"	"Jump'n Run"
rocketknight2.zip	"Rocket Knight 2"	"Jump'n Run"
sonic3.zip	"Sonic 3"	"Jump'n Run"
srroll.zip	"Snake Rattle'n Roll"	"Puzzle"
toejam2.zip	"Toejam & Earl 2"	"Jump'n Run"
twinhawk.zip	"Twinhawk"	"Shooter"
animaniacs.zip	"Animaniacs"	"Jump'n Run"
asterix.zip	"Asterix"	"Jump'n Run"
batman4.zip	"Batman 4"	"Action"
bloodshot.zip	"Battle Frenzy"	"Shooter"
bodycount.zip	"Bodycount"	"Shooter"
