1942.zip	"1942"	"Shooter"
1943.zip	"1943"	"Shooter"
1943kai.zip	"1943 Kai"	"Shooter"
720.zip	"720"	"Sports"
aburner.zip	"After Burner"	"Shooter"
aburner2.zip	"After Burner 2"	"Shooter"
acrobatm.zip	"Acrobat Mission"	"Shooter"
actfancr.zip	"Act-Fancer"	"Action"
aerofgt.zip	"Aero Fighters"	"Shooter"
agallet.zip	"Air Gallet"	"Shooter"
airbustr.zip	"Air Buster"	"Shooter"
airduel.zip	"Air Duel"	"Shooter"
aliens.zip	"Aliens"	"Action"
arabianm.zip	"Arabian Magic"	"Action"
arbalest.zip	"Arbalester"	"Shooter"
arcadecl.zip	"Arcade Classics"	"Shooter"
arkanoid.zip	"Arkanoid"	"Puzzle"
arknoid2.zip	"Arkanoid 2"	"Puzzle"
arkretrn.zip	"Arkanoid Returns"	"Puzzle"
ashura.zip	"Ashura Blaster"	"Shooter"
assault.zip	"Assault"	"Shooter"
astdelux.zip	"Asteroids Deluxe"	"Shooter"
asteroid.zip	"Asteroids"	"Shooter"
baddudes.zip	"Bad Dudes"	"Action"
badlands.zip	"Badlands"	"Sports"
bangball.zip	"Bang Ball"	"Puzzle"
batman.zip	"Batman"	"Action"
batrider.zip	"Armored Police Batrider"	"Shooter"
batsugun.zip	"Batsugun"	"Shooter"
battleg.zip	"Battle Garega"	"Shooter"
batugnsp.zip	"Batsugun Special Version"	"Shooter"
bayroute.zip	"Bay Route"	"Shooter"
bbakraid.zip	"Battle Bakraid"	"Shooter"
bbmanw.zip	"Bomber Man World"	"Puzzle"
berlwall.zip	"Berlin Wall"	"Puzzle"
bermudat.zip	"Bermuda Triangle"	"Shooter"
bigrun.zip	"Big Run"	"Sports"
bioship.zip	"Bio-Ship Paladin"	"Shooter"
blandia.zip	"Blandia"	"Beat'em Up"
blkheart.zip	"Black Heart"	"Shooter"
blmbycar.zip	"Blomby Car"	"Sports"
bloodbro.zip	"Blood Brothers"	"Action"
bloodstm.zip	"Blood Storm"	"Beat'em Up"
blstroid.zip	"Blasteroids"	"Shooter"
blswhstl.zip	"Bells & Whistles"	"Shooter"
bluehawk.zip	"Bluehawk"	"Shooter"
blzntrnd.zip	"Blazing Tornado"	"Beat'em Up"
bmaster.zip	"Blade Master"	"Action"
bottom9.zip	"Bottom of the Ninth"	"Sports"
bouldash.zip	"Boulder Dash"	"Puzzle"
bshark.zip	"Battle Shark"	"Shooter"
bssoccer.zip	"Back Street Soccer"	"Sports"
bubblem.zip	"Bubble Memories"	"Puzzle"
bublbob2.zip	"Bubble Bobble 2"	"Puzzle"
bublbobl.zip	"Bubble Bobble"	"Puzzle"
bucky.zip	"Bucky O'Hare"	"Action"
burglarx.zip	"Burglar X"	"Action"
burnforc.zip	"Burning Force"	"Shooter"
calibr50.zip	"Caliber 50"	"Shooter"
captaven.zip	"Captain America"	"Action"
cbuster.zip	"Crude Busters"	"Action"
chimerab.zip	"Chimera Beast"	"Shooter"
chinagat.zip	"China Gate"	"Action"
cischeat.zip	"Cisco Heat"	"Sports"
cninja.zip	"Caveman Ninja"	"Jump'n Run"
contra.zip	"Contra"	"Action"
crshrace.zip	"Crash Race"	"Sports"
cscluba.zip	"Capcom Sports Club"	"Sports"
ctribe.zip	"Combatribes"	"Action"
cybattlr.zip	"Cybattler"	"Shooter"
daraku.zip	"Daruki Tenshi"	"Beat'em Up"
darius.zip	"Darius"	"Shooter"
darius2.zip	"Darius 2"	"Shooter"
dariusg.zip	"Darius Gaiden"	"Shooter"
darkseal.zip	"Dark Seal"	"Action"
dblaxle.zip	"Double Axle"	"Sports"
dbreed.zip	"Dragon Breed"	"Shooter"
ddonpach.zip	"Dodonpachi"	"Shooter"
ddragon.zip	"Double Dragon"	"Action"
ddragon2.zip	"Double Dragon 2"	"Action"
ddragon3.zip	"Double Dragon 3"	"Action"
deadconx.zip	"Dead Connection"	"Action"
devstors.zip	"Devastators"	"Shooter"
dinorex.zip	"Dino Rex"	"Beat'em Up"
dkong.zip	"Donkey Kong"	"Jump'n Run"
dkong3.zip	"Donkey Kong 3"	"Jump'n Run"
dkongjr.zip	"Donkey Kong Junior"	"Jump'n Run"
dogyuun.zip	"Dogyuun"	"Shooter"
donpachi.zip	"DonPachi"	"Shooter"
downtown.zip	"Downtown"	"Action"
drifto94.zip	"Drift Out 94"	"Sports"
driftout.zip	"Drift Out"	"Sports"
dsaber.zip	"Dragon Saber"	"Shooter"
dsoccr94.zip	"Dream Soccer 94"	"Sports"
dungeonm.zip	"Dungeon Magic"	"Action"
dw.zip	"Dynasty Wars"	"Action"
dynduke.zip	"Dynamite Duke"	"Shooter"
edf.zip	"Earth Defense"	"Shooter"
eightfrc.zip	"Eight Forces"	"Shooter"
elvactr.zip	"Elevator Action Returns"	"Action"
esprade.zip	"Esp Ra.De."	"Shooter"
firebarr.zip	"Fire Barrel"	"Shooter"
ga2.zip		"Golden Axe 2"	"Action"
goldnaxe.zip	"Golden Axe"	"Action"
gaxeduel.zip	"Golden Axe Duel"	"Action"
gaiden.zip	"Ninja Gaiden"	"Action"
galaga88.zip	"Galaga 88"	"Shooter"
gallop.zip	"Gallop - Armored Police Unit"	"Shooter"
gangwars.zip	"Gang Wars"	"Action"
gbusters.zip	"Gang Busters"	"Shooter"
gcpinbal.zip	"Grand Cross Pinball"	"Puzzle"
gekirido.zip	"Gekirindan"	"Shooter"
gigandes.zip	"Gigandes"	"Shooter"
gijoe.zip	"GI Joe"	"Shooter"
gradius3.zip	"Gradius 3"	"Shooter"
grdnstrm.zip	"Guardian Storm"	"Shooter"
growl.zip	"Growl"	"Action"
gseeker.zip	"Grid Seeker - Project Stormhammer"	"Shooter"
gtmr.zip	"Great 1000 Miles Rally"	"Sports"
gtmr2.zip	"Great 1000 Miles Rally 2"	"Sports"
gunbird.zip	"Gun Bird"	"Shooter"
gunbird2.zip	"Gun Bird 2"	"Shooter"
gundhara.zip	"Gundhara"	"Shooter"
gunfront.zip	"Gun & Frontier"	"Shooter"
gunlock.zip	"Gunlock"	"Shooter"
hachoo.zip	"Hachoo!"	"Action"
hangonjr.zip	"Hang-On! Junior"	"Sports"
hardyard.zip	"Hard Yardage"	"Sports"
hharry.zip	"Hammerin Harry"	"Jump'n Run"
hippodrm.zip	"Hippodrome"	"Beat'em Up"
hitice.zip	"Hit the Ice"	"Sports"
hook.zip	"Hook"	"Action"
hotchase.zip	"Hot Chase"	"Sports"
hotdogst.zip	"Hotdog Storm"	"Shooter"
hotpinbl.zip	"Hot Pinball"	"Puzzle"
ikari3.zip	"Ikari 3 - The Rescue"	"Action"
jdredd.zip	"Judge Dredd"	"Action"
kageki.zip	"Kageki"	"Beat'em Up"
kaiserkn.zip	"Kaiser Knuckle"	"Beat'em Up"
karatblz.zip	"Karate Blazers"	"Action"
karatour.zip	"Karate Tournament"	"Action"
karianx.zip	"Karian Cross"	"Puzzle"
kbash.zip	"Knuckle Bash"	"Action"
knckhead.zip	"Knuckle Heads"	"Beat'em Up"
kov.zip	"Knights of Valour"	"Action"
kovplus.zip	"Knights of Valour Plus"	"Action"
ktiger2.zip	"Kyukyoku Tiger 2"	"Shooter"
landmakr.zip	"Landmaker"	"Puzzle"
lethalth.zip	"Lethal Thunder"	"Puzzle"
lgtnfght.zip	"Lightning Fighter"	"Puzzle"
loderndf.zip	"Lode Runner"	"Puzzle"
logicpr2.zip	"Logic Pro 2"	"Puzzle"
logicpro.zip	"Logic Pro"	"Puzzle"
macross.zip	"Macross"	"Shooter"
macross2.zip	"Macross 2"	"Shooter"
macrossp.zip	"Macross Plus"	"Shooter"
madmotor.zip	"Mad Motor"	"Sports"
magicbub.zip	"Magic Bubble"	"Sports"
mahoudai.zip	"Mahou Daisakusen"	"Shooter"
marble.zip	"Marble Madness"	"Puzzle"
mario.zip	"Mario Brothers"	"Jump'n Run"
