ff2.zip	"Final Fantasy 2"	"RPG & Adventure"
ff3.zip	"Final Fantasy 3"	"RPG & Adventure"
faxanadu.zip	"Faxanadu"	"RPG & Adventure"
10yardfight.zip	"10 Yard Fight"	"Sports"
1942.zip	"1942"	"Shooter"
1943.zip	"1943"	"Shooter"
abadox.zip	"Abadox"	"Shooter"
aboyandhisblob.zip	"A Boy and his Blob"	"Jump'n Run"
advilnd2.zip	"Adventure Island 2"	"Jump'n Run"
advilnd3.zip	"Adventure Island 3"	"Jump'n Run"
lolo.zip	"Adventures of Lolo"	"Puzzle"
arctcadv.zip	"Antarctic Adventure"	"Sports"
alfredchicken.zip	"Alfred Chicken"	"Jump'n Run"
arkanoid.zip	"Arkanoid"	"Puzzle"
badmington.zip	"Badminton"	"Sports"
badnews.zip	"Bad News Baseball"	"Sports"
balloon.zip	"Balloon Fight"	"Jump'n Run"
baseballstars.zip	"Baseballstars"	"Sports"
baseballstars2.zip	"Baseballstars 2"	"Sports"
basewars.zip	"Basewars"	"Sports"
batman.zip	"Batman"	"Action"
batman3.zip	"Batman 3"	"Action"
battletoads.zip	"Battletoads"	"Action"
bayoubi.zip	"Adventures of Bayou Billy"	"Action"
beetlejuice.zip	"Beetlejuice"	"Jump'n Run"
bestbest.zip	"Best of the Best"	"Beat'em Up"
bionicc.zip	"Bionic Commando"	"Action"
bkyohare.zip	"Bucky O'Hare"	"Jump'n Run"
blades.zip	"Blades of Steel"	"Sports"
blckbass.zip	"Black Bass"	"Sports"
blstmstr.zip	"Blastmaster"	"Action"
bomberman.zip	"Bomberman"	"Strategy"
bomberman2.zip	"Bomberman 2"	"Strategy"
boulderdash.zip	"Boulderdash"	"Strategy"
btlcity.zip	"Battlecity"	"Strategy"
bubblebobble2.zip	"Bubble Bobble 2"	"Strategy"
bubblebobble.zip	"Bubble Bobble"	"Strategy"
bugscc.zip	"Bugs Bunny Crazy Castle"	"Strategy"
bumpjump.zip	"Bump'n Jump"	"Action"
burai.zip	"Burai Fighter"	"Shooter"
burgertime.zip	"Burger Time"	"Jump'n Run"
caesar.zip	"Caesar's Palace"	"Simulation"
calgames.zip	"California Games"	"Sports"
captskyh.zip	"Captain Skyhawk"	"Shooter"
castlevania.zip	"Castlevania"	"Action"
castlevania2.zip	"Castlevania 2"	"Action"
castlevania3.zip	"Castlevania 3"	"Action"
chipdale.zip	"Chip'n Dale"	"Jump'n Run"
chipdale2.zip	"Chip'n Dale 2"	"Jump'n Run"
chmppool.zip	"Champion Pool"	"Sports"
cobratri.zip	"Cobra Triangle"	"Sports"
commando.zip	"Commando"	"Action"
conan.zip	"Conan"	"Action"
