2020bb.zip	"Super Baseball 2020"	"Sports"
3countb.zip	"3 Count Bout"	"Sports"
alpham2.zip	"Alpha Mission 2"	"Shooter"
androdun.zip	"Andro Dunos"	"Shooter"
aodk.zip	"Aggressors of Dark Kombat"	"Beat'em Up"
aof.zip	"Art of Fighting"	"Beat'em Up"
aof2.zip	"Art of Fighting 2"	"Beat'em Up"
aof3.zip	"Art of Fighting 3"	"Beat'em Up"
bjourney.zip	"Blue's Journey"	"Jump'n Run"
blazstar.zip	"Blazing Star"	"Shooter"
breakers.zip	"Breakers"	"Beat'em Up"
bstars.zip	"Baseball Stars Professional"	"Sports"
bstars2.zip	"Baseball Stars Professional 2"	"Sports"
burningf.zip	"Burning Fight"	"Action"
crsword.zip	"Crossed Swords"	"Action"
ctomaday.zip	"Captain Tomaday"	"Shooter"
cyberlip.zip	"Cyberlip"	"Action"
doubledr.zip	"Double Dragon"	"Beat'em Up"
eightman.zip	"Eight Man"	"Action"
fatfursp.zip	"Fatal Fury Special"	"Beat'em Up"
fatfury1.zip	"Fatal Fury 1"	"Beat'em Up"
fatfury2.zip	"Fatal Fury 2"	"Beat'em Up"
fatfury3.zip	"Fatal Fury 3"	"Beat'em Up"
fbfrenzy.zip	"Football Frenzy"	"Sports"
fightfev.zip	"Fight Fever"	"Beat'em Up"
flipshot.zip	"Flipshot"	"Sports"
galaxyfg.zip	"Galaxy Fight"	"Beat'em Up"
ganryu.zip	"Musashi Ganryuuki"	"Action"
garou.zip	"Garou - Mark Of The Wolfes"	"Beat'em Up"
goalx3.zip	"Goal Goal Goal"	"Sports"
gowcaizr.zip	"Voltage Fighter - Gowcaizer"	"Beat'em Up"
gpilots.zip	"Ghost Pilots"	"Shooter"
gururin.zip	"Gururin"	"Puzzle"
irrmaze.zip	"The Irritating Maze"	"Puzzle"
joyjoy.zip	"Puzzled"	"Puzzle"
kabukikl.zip	"Kabuki Klash"	"Beat'em Up"
karnovr.zip	"Karnov's Revenge"	"Beat'em Up"
kizuna.zip	"Kizuna Encounter - Super Tag Battle"	"Beat'em Up"
kof2000.zip	"The King Of Fighters 2000"	"Beat'em Up"
kof2001b.zip	"The King Of Fighters 2001"	"Beat'em Up"
kof94.zip	"The King Of Fighters '94"	"Beat'em Up"
kof95.zip	"The King Of Fighters '95"	"Beat'em Up"
kof96.zip	"The King Of Fighters '96"	"Beat'em Up"
kof97.zip	"The King Of Fighters '97"	"Beat'em Up"
kof98.zip	"The King Of Fighters '98"	"Beat'em Up"
kof99.zip	"The King Of Fighters '99"	"Beat'em Up"
kotm.zip	"The King Of Monsters"	"Beat'em Up"
kotm2.zip	"The King Of Monsters 2"	"Beat'em Up"
lastblad.zip	"The Last Blade"	"Beat'em Up"
lastbld2.zip	"The Last Blade 2"	"Beat'em Up"
lbowling.zip	"League Bowling"	"Sports"
legendos.zip	"Legend Of Success Joe"	"Action"
lresort.zip	"Last Resort"	"Shooter"
magdrop2.zip	"Magical Drop 2"	"Puzzle"
magdrop3.zip	"Magical Drop 3"	"Puzzle"
maglord.zip	"Magician Lord"	"Action"
mslug.zip	"Metal Slug"	"Action"
mslug2.zip	"Metal Slug 2"	"Action"
mslug3.zip	"Metal Slug 3"	"Action"
mslug4.zip	"Metal Slug 4"	"Action"
mslugx.zip	"Metal Slug X"	"Action"
mutnat.zip	"Mutation Nation"	"Action"
nam1975.zip	"NAM - 1975"	"Shooter"
ncombat.zip	"Ninja Combat"	"Action"
ncommand.zip	"Ninja Commando"	"Shooter"
neobombe.zip	"Neo Bomberman"	"Puzzle"
neocup98.zip	"Neogeo Cup '98"	"Sports"
neodrift.zip	"Neo Drift Out"	"Sports"
neomrdo.zip	"Neo Mr. Do!"	"Puzzle"
neopong.zip	"Neo-Pong!"	"Puzzle"
ninjamas.zip	"Ninja Master's"	"Beat'em Up"
nitd.zip	"Nightmare In The Dark"	"Puzzle"
overtop.zip	"Over Top"	"Sports"
panicbom.zip	"Panic Bomber"	"Puzzle"
pbobbl2n.zip	"Puzzle Bobble 2"	"Puzzle"
pgoal.zip	"Pleasure Goal"	"Sports"
popbounc.zip	"Pop'n Bounce"	"Puzzle"
preisle2.zip	"Prehistoric Isle 2"	"Shooter"
pspikes2.zip	"Power Spikes 2"	"Sports"
pulstar.zip	"Pulstar"	"Shooter"
puzzledp.zip	"Puzzle De Pon"	"Puzzle"
ragnagrd.zip	"Operation Ragnagard"	"Beat'em Up"
rbff1.zip	"Real Bout Fatal Fury"	"Beat'em Up"
rbff2.zip	"Real Bout Fatal Fury 2"	"Beat'em Up"
rbffspec.zip	"Real Bout Fatal Fury Special"	"Beat'em Up"
ridhero.zip	"Riding Hero"	"Sports"
roboarmy.zip	"Robo Army"	"Action"
s1945p.zip	"Strikers 1945 Plus"	"Shooter"
samsho.zip	"Samurai Shodown"	"Beat'em Up"
samsho2.zip	"Samurai Shodown 2"	"Beat'em Up"
samsho3.zip	"Samurai Shodown 3"	"Beat'em Up"
samsho4.zip	"Samurai Shodown 4"	"Beat'em Up"
savagere.zip	"Savage Reign"	"Beat'em Up"
sdodgeb.zip	"Super Dodge Ball"	"Sports"
sengoku.zip	"Sengoku"	"Action"
sengoku2.zip	"Sengoku 2"	"Action"
sengoku3.zip	"Sengoku 3"	"Action"
shocktr2.zip	"Shock Troopers"	"Shooter"
shocktro.zip	"Shock Troopers"	"Shooter"
socbrawl.zip	"Soccer Brawl"	"Sports"
sonicwi2.zip	"Aero Fighters 2"	"Shooter"
sonicwi3.zip	"Aero Fighters 3"	"Shooter"
spinmast.zip	"Spinmaster"	"Jump'n Run"
ssideki.zip	"Super Sidekicks"	"Sports"
ssideki2.zip	"Super Sidekicks 2"	"Sports"
ssideki3.zip	"Super Sidekicks 3"	"Sports"
ssideki4.zip	"Super Sidekicks 4"	"Sports"
stakwin.zip	"Stakes Winner"	"Sports"
stakwin2.zip	"Stakes Winner 2"	"Sports"
strhoop.zip	"Street Hoop"	"Sports"
superspy.zip	"The Super Spy"	"Action"
tophuntr.zip	"Top Hunter"	"Jump'n Run"
tpgolf.zip	"Top Player's Golf"	"Sports"
trally.zip	"Thrash Rally"	"Sports"
turfmast.zip	"Neo Turf Masters"	"Sports"
twinspri.zip	"Twinkle Star Sprites"	"Shooter"
tws96.zip	"Tecmo World Soccer '96"	"Shooter"
viewpoin.zip	"Viewpoint"	"Shooter"
wakuwak7.zip	"Waku Waku 7"	"Beat'em Up"
wh2.zip	"World Heroes 2"	"Beat'em Up"
wh2j.zip	"World Heroes 2 Jet"	"Beat'em Up"
whp.zip	"World Heroes Perfect"	"Beat'em Up"
wjammers.zip	"Windjammers"	"Sports"
zedblade.zip	"Zed Blade"	"Shooter"
