asterixuo.zip	"Asterix und Obelix"	"Jump'n Run"
dkc2.zip	"Donkey Kong Country 2"	"Jump'n Run"
bhawk.zip	"Blackhawk"	"Action"
alien3.zip	"Alien 3"	"Action"
aladdin.zip	"Aladdin"	"Jump'n Run"
brutalpof.zip	"Brutal - Paws of Fury"	"Beat'em Up"
dkc.zip	"Donkey Kong Country"	"Jump'n Run"
mmx.zip	"Mega Man X"	"Action"
dkc3.zip	"Donkey Kong Country 3"	"Jump'n Run"
harvestmoon.zip	"Harvest Moon"	"Strategy"
joemac3.zip	"Joe & Mac 3"	"Jump'n Run"
mm7.zip	"Mega Man 7"	"Action"
mmx2.zip	"Mega Man X2"	"Action"
plok.zip	"Plok"	"Jump'n Run"
poptwinbee.zip	"Pop'n'Twinbee"	"Action"
som.zip	"Secret of Mana"	"RPG & Adventure"
secretofever.zip	"Secret of Evermore"	"RPG & Adventure"
powerdrive.zip	"Powerdrive"	"Sports"
som2.zip	"Secret of Mana 2"	"RPG & Adventure"
shadowrun.zip	"Shadowrun"	"RPG & Adventure"
terranigma.zip	"Terranigma"	"RPG & Adventure"
firemen.zip	"Firemen"	"RPG & Adventure"
wingcmd.zip	"Wing Commander"	"Shooter"
youngmerlin.zip	"Young Merlin"	"RPG & Adventure"
starwing.zip	"Starwing"	"Shooter"
anotherworld.zip	"Another World"	"Action"
batmanforever.zip	"Batman Forever"	"Action"
battletoadsdd.zip	"Battletoads Doubledragon"	"Action"
battletoadsbm.zip	"Battletoads in Battlemaniacs"	"Action"
biometal.zip	"Biometal"	"Shooter"
breathoffire2.zip	"Breath of Fire 2"	"RPG & Adventure"
breathoffire.zip	"Breath of Fire"	"RPG & Adventure"
bustamove.zip	"Bust'a'Move"	"Puzzle"
cacomakn.zip	"Cacoma Knight"	"Puzzle"
contra3.zip	"Contra 3"	"Action"
daffy.zip	"Duffy Duck"	"Jump'n Run"
dbzsupbu2.zip	"Dragon Ball Z Super Botuden 2"	"Beat'em Up"
dbzsupbu3.zip	"Dragon Ball Z Super Botuden 3"	"Beat'em Up"
dbzsupgok1.zip	"Dragon Ball Z Super Goku Den 1"	"RPG & Adventure"
